case_id,activity,start_time,end_time,resource
269,Appraise property,2025-01-22 11:50:25.419206+00:00,2025-01-22 11:50:25.419206+00:00,2025-01-22 11:51:52.765319+00:00,Loan Officer-000004
269,Assess loan risk,2025-01-22 11:51:52.765319+00:00,2025-01-22 11:51:52.765319+00:00,2025-01-22 12:04:18.297204+00:00,Clerk-000007
270,Check application form completeness,2025-01-22 12:00:00.000001+00:00,2025-01-22 12:00:00.000001+00:00,2025-01-22 12:16:16.112292+00:00,Clerk-000006
268,Approve loan offer,2025-01-22 12:02:37.802416+00:00,2025-01-22 12:02:37.802416+00:00,2025-01-22 12:17:16.194097+00:00,AML Investigator-000001
269,Reject application,2025-01-22 12:04:18.297205+00:00,2025-01-22 12:04:18.297205+00:00,2025-01-22 12:12:06.426182+00:00,Clerk-000001
270,Check credit history,2025-01-22 12:16:16.112292+00:00,2025-01-22 12:16:16.112292+00:00,2025-01-22 12:19:55.832645+00:00,Applicant-000001
268,Cancel application,2025-01-22 12:17:16.288167+00:00,2025-01-22 12:17:16.288167+00:00,2025-01-22 12:21:55.353919+00:00,Appraiser-000002
270,AML check,2025-01-22 12:19:55.832645+00:00,2025-01-22 12:19:55.832645+00:00,2025-01-22 12:22:30.215802+00:00,Senior Officer-000001
270,Assess loan risk,2025-01-22 12:22:30.215802+00:00,2025-01-22 12:22:30.215802+00:00,2025-01-22 12:30:42.567380+00:00,Clerk-000004
270,Design loan offer,2025-01-22 12:30:42.567380+00:00,2025-01-22 12:30:42.567380+00:00,2025-01-22 12:30:54.288824+00:00,Loan Officer-000003
270,Approve loan offer,2025-01-22 12:30:54.288824+00:00,2025-01-22 12:30:54.288824+00:00,2025-01-22 13:26:50.780175+00:00,Clerk-000003
271,Check application form completeness,2025-01-22 12:33:09.705037+00:00,2025-01-22 12:33:09.705037+00:00,2025-01-22 13:49:25.733802+00:00,Appraiser-000001
246,Reject application,2025-01-22 13:01:19.019671+00:00,2025-01-22 13:12:00.000000+00:00,2025-01-22 13:22:40.306787+00:00,Clerk-000002
273,Check application form completeness,2025-01-22 13:30:00.000000+00:00,2025-01-22 13:30:00.000000+00:00,2025-01-22 13:30:50.597646+00:00,Clerk-000008
273,Check credit history,2025-01-22 13:30:50.597646+00:00,2025-01-22 13:30:50.597646+00:00,2025-01-22 13:45:52.706783+00:00,AML Investigator-000002
273,Appraise property,2025-01-22 13:45:52.706783+00:00,2025-01-22 13:45:52.706783+00:00,2025-01-22 14:28:24.923719+00:00,Senior Officer-000002
271,Check credit history,2025-01-22 13:49:25.733802+00:00,2025-01-22 13:49:25.733802+00:00,2025-01-22 13:49:42.646068+00:00,Clerk-000005
271,Appraise property,2025-01-22 13:49:42.646068+00:00,2025-01-22 13:49:42.646068+00:00,2025-01-22 13:49:43.314892+00:00,Loan Officer-000002
271,Assess loan risk,2025-01-22 13:49:43.314892+00:00,2025-01-22 13:49:43.314892+00:00,2025-01-22 14:27:08.746895+00:00,Loan Officer-000004
272,Check application form completeness,2025-01-22 13:52:50.343963+00:00,2025-01-22 13:52:50.343963+00:00,2025-01-22 13:54:25.237528+00:00,Loan Officer-000001
272,Return application back to applicant,2025-01-22 13:54:25.237528+00:00,2025-01-22 13:54:25.237528+00:00,2025-01-22 13:56:16.443066+00:00,Clerk-000007
272,Applicant completes form,2025-01-22 13:56:16.443066+00:00,2025-01-22 13:56:16.443066+00:00,2025-01-22 14:40:10.443786+00:00,Clerk-000001
274,Check application form completeness,2025-01-22 14:00:00.000002+00:00,2025-01-22 14:24:00.000000+00:00,2025-01-22 14:24:06.852317+00:00,Clerk-000006
274,Check credit history,2025-01-22 14:24:06.852317+00:00,2025-01-22 14:24:06.852317+00:00,2025-01-22 14:31:11.827124+00:00,AML Investigator-000001
271,Design loan offer,2025-01-22 14:27:08.746895+00:00,2025-01-22 14:27:08.746895+00:00,2025-01-22 14:27:59.506447+00:00,Applicant-000001
271,Approve loan offer,2025-01-22 14:27:59.506447+00:00,2025-01-22 14:27:59.506447+00:00,2025-01-22 14:30:07.995647+00:00,Appraiser-000002
273,Assess loan risk,2025-01-22 14:28:24.923719+00:00,2025-01-22 14:28:24.923719+00:00,2025-01-22 14:43:38.987311+00:00,Senior Officer-000001
275,Check application form completeness,2025-01-22 14:30:00.000000+00:00,2025-01-22 14:30:00.000000+00:00,2025-01-22 14:30:16.296463+00:00,Clerk-000004
275,Check credit history,2025-01-22 14:30:16.296463+00:00,2025-01-22 14:30:16.296463+00:00,2025-01-22 14:42:44.597535+00:00,Loan Officer-000003
274,AML check,2025-01-22 14:31:11.827124+00:00,2025-01-22 14:31:11.827124+00:00,2025-01-22 14:42:46.498393+00:00,Clerk-000002
271,Approve application,2025-01-22 14:36:53.538087+00:00,2025-01-22 14:36:53.538087+00:00,2025-01-22 14:40:14.182128+00:00,Clerk-000003
272,Check application form completeness,2025-01-22 14:40:10.443786+00:00,2025-01-22 14:40:10.443786+00:00,2025-01-22 14:45:38.315237+00:00,Clerk-000008
275,AML check,2025-01-22 14:42:44.597535+00:00,2025-01-22 14:42:44.597535+00:00,2025-01-22 14:43:55.034004+00:00,AML Investigator-000002
274,Assess loan risk,2025-01-22 14:42:46.498393+00:00,2025-01-22 14:42:46.498393+00:00,2025-01-22 14:52:52.711289+00:00,Appraiser-000001
273,Design loan offer,2025-01-22 14:43:38.987311+00:00,2025-01-22 14:43:38.987311+00:00,2025-01-22 14:50:53.712179+00:00,Clerk-000005
275,Assess loan risk,2025-01-22 14:43:55.034004+00:00,2025-01-22 14:43:55.034004+00:00,2025-01-22 14:52:44.672244+00:00,Loan Officer-000002
272,Check credit history,2025-01-22 14:45:38.315237+00:00,2025-01-22 14:45:38.315237+00:00,2025-01-23 07:50:53.879477+00:00,Loan Officer-000001
273,Approve loan offer,2025-01-22 14:50:53.712179+00:00,2025-01-22 14:50:53.712179+00:00,2025-01-22 14:57:32.999658+00:00,Clerk-000007
274,Reject application,2025-01-22 14:52:52.713713+00:00,2025-01-22 14:52:52.713713+00:00,2025-01-23 07:50:00.760411+00:00,Clerk-000006
276,Check application form completeness,2025-01-22 15:00:00.000000+00:00,2025-01-22 15:00:00.000000+00:00,2025-01-23 09:09:14.751016+00:00,Loan Officer-000004
273,Cancel application,2025-01-22 16:11:48.763873+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:53:32.654293+00:00,Applicant-000001
266,Approve application,2025-01-22 16:32:06.164966+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:53:23.062047+00:00,Senior Officer-000002
267,Check application form completeness,2025-01-22 16:43:13.699946+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:59:04.234881+00:00,Appraiser-000002
277,Check application form completeness,2025-01-22 17:16:05.959243+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:48:24.324788+00:00,Clerk-000004
262,Reject application,2025-01-22 18:56:03.348224+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:53:02.403221+00:00,AML Investigator-000001
263,Reject application,2025-01-22 19:17:36.458530+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:50:23.552971+00:00,Clerk-000001
275,Reject application,2025-01-23 01:14:10.767975+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:57:26.405632+00:00,Clerk-000003
278,Check application form completeness,2025-01-23 07:00:00.000000+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:50:25.576757+00:00,Loan Officer-000003
260,Cancel application,2025-01-23 07:03:07.095955+00:00,2025-01-23 07:48:00.000000+00:00,2025-01-23 07:48:55.058840+00:00,Clerk-000002
277,Check credit history,2025-01-23 07:48:24.324788+00:00,2025-01-23 07:48:24.324788+00:00,2025-01-23 09:35:56.412179+00:00,Senior Officer-000001
278,Check credit history,2025-01-23 07:50:25.576757+00:00,2025-01-23 07:50:25.576757+00:00,2025-01-23 09:03:59.750082+00:00,AML Investigator-000002
272,Appraise property,2025-01-23 07:50:53.879477+00:00,2025-01-23 07:50:53.879477+00:00,2025-01-23 09:01:41.785057+00:00,Clerk-000008
267,Check credit history,2025-01-23 07:59:04.234881+00:00,2025-01-23 07:59:04.234881+00:00,2025-01-23 09:01:56.655395+00:00,Clerk-000005
280,Check application form completeness,2025-01-23 08:00:00.000000+00:00,2025-01-23 08:00:00.000000+00:00,2025-01-23 09:04:22.640394+00:00,Loan Officer-000002
281,Check application form completeness,2025-01-23 08:37:08.871208+00:00,2025-01-23 09:00:00.000000+00:00,2025-01-23 09:02:32.283240+00:00,Appraiser-000001
279,Check application form completeness,2025-01-23 08:51:47.731401+00:00,2025-01-23 09:00:00.000000+00:00,2025-01-23 09:03:54.300140+00:00,Clerk-000007
282,Check application form completeness,2025-01-23 09:00:00.000000+00:00,2025-01-23 09:00:00.000000+00:00,2025-01-23 09:20:12.555130+00:00,Clerk-000004
272,Assess loan risk,2025-01-23 09:01:41.785057+00:00,2025-01-23 09:01:41.785057+00:00,2025-01-23 09:18:01.856179+00:00,Clerk-000002
267,AML check,2025-01-23 09:01:56.655395+00:00,2025-01-23 09:01:56.655395+00:00,2025-01-23 09:10:54.805055+00:00,Clerk-000006
281,Return application back to applicant,2025-01-23 09:02:32.283240+00:00,2025-01-23 09:02:32.283240+00:00,2025-01-23 09:02:57.829265+00:00,Clerk-000001
281,Applicant completes form,2025-01-23 09:02:57.829265+00:00,2025-01-23 09:02:57.829265+00:00,2025-01-23 09:34:26.641211+00:00,Loan Officer-000003
279,Check credit history,2025-01-23 09:03:54.300140+00:00,2025-01-23 09:03:54.300140+00:00,2025-01-23 10:14:05.632243+00:00,Loan Officer-000001
278,AML check,2025-01-23 09:03:59.750082+00:00,2025-01-23 09:03:59.750082+00:00,2025-01-23 09:46:35.567715+00:00,AML Investigator-000001
280,Check credit history,2025-01-23 09:04:22.640394+00:00,2025-01-23 09:04:22.640394+00:00,2025-01-23 09:48:06.747192+00:00,Senior Officer-000002
276,Check credit history,2025-01-23 09:09:14.751016+00:00,2025-01-23 09:09:14.751016+00:00,2025-01-23 09:10:35.798296+00:00,Applicant-000001
276,AML check,2025-01-23 09:10:35.798296+00:00,2025-01-23 09:10:35.798296+00:00,2025-01-23 09:19:39.196509+00:00,Clerk-000003
267,Assess loan risk,2025-01-23 09:10:54.805055+00:00,2025-01-23 09:10:54.805055+00:00,2025-01-23 09:13:52.936502+00:00,Appraiser-000002
272,Design loan offer,2025-01-23 09:18:01.856179+00:00,2025-01-23 09:18:01.856179+00:00,2025-01-23 09:32:42.372811+00:00,Clerk-000008
276,Assess loan risk,2025-01-23 09:19:39.196509+00:00,2025-01-23 09:19:39.196509+00:00,2025-01-23 09:24:17.957298+00:00,Clerk-000005
282,Check credit history,2025-01-23 09:20:12.555130+00:00,2025-01-23 09:20:12.555130+00:00,2025-01-23 09:34:22.600306+00:00,Appraiser-000001
276,Reject application,2025-01-23 09:25:49.678024+00:00,2025-01-23 09:25:49.678024+00:00,2025-01-23 09:31:38.658460+00:00,Clerk-000001
283,Check application form completeness,2025-01-23 09:30:00.000000+00:00,2025-01-23 09:30:00.000000+00:00,2025-01-23 09:33:03.441054+00:00,Clerk-000007
272,Approve loan offer,2025-01-23 09:32:42.372811+00:00,2025-01-23 09:32:42.372811+00:00,2025-01-23 09:49:50.634673+00:00,AML Investigator-000002
283,Check credit history,2025-01-23 09:33:03.441054+00:00,2025-01-23 09:33:03.441054+00:00,2025-01-23 09:46:57.712359+00:00,Loan Officer-000002
282,AML check,2025-01-23 09:34:22.600306+00:00,2025-01-23 09:34:22.600306+00:00,2025-01-23 09:53:50.494274+00:00,Loan Officer-000004
281,Check application form completeness,2025-01-23 09:34:26.641211+00:00,2025-01-23 09:34:26.641211+00:00,2025-01-23 09:51:11.574396+00:00,Applicant-000001
277,Appraise property,2025-01-23 09:35:56.412179+00:00,2025-01-23 09:35:56.412179+00:00,2025-01-23 09:35:57.124764+00:00,Clerk-000006
277,Assess loan risk,2025-01-23 09:35:57.124764+00:00,2025-01-23 09:35:57.124764+00:00,2025-01-23 09:45:34.600547+00:00,Appraiser-000002
277,Design loan offer,2025-01-23 09:45:34.600547+00:00,2025-01-23 09:45:34.600547+00:00,2025-01-23 09:46:15.693833+00:00,Clerk-000002
277,Approve loan offer,2025-01-23 09:46:15.693833+00:00,2025-01-23 09:46:15.693833+00:00,2025-01-23 10:02:11.166982+00:00,Clerk-000003
278,Assess loan risk,2025-01-23 09:46:35.567715+00:00,2025-01-23 09:46:35.567715+00:00,2025-01-23 09:57:21.505597+00:00,Clerk-000004
283,AML check,2025-01-23 09:46:57.712359+00:00,2025-01-23 09:46:57.712359+00:00,2025-01-23 10:05:32.753965+00:00,Clerk-000005
280,AML check,2025-01-23 09:48:06.747192+00:00,2025-01-23 09:48:06.747192+00:00,2025-01-23 09:53:23.876455+00:00,Clerk-000001
272,Cancel application,2025-01-23 09:49:50.634673+00:00,2025-01-23 09:49:50.634673+00:00,2025-01-23 09:53:03.320133+00:00,Clerk-000008
281,Check credit history,2025-01-23 09:51:11.574396+00:00,2025-01-23 09:51:11.574396+00:00,2025-01-23 10:28:01.302541+00:00,Clerk-000007
280,Assess loan risk,2025-01-23 09:53:23.876455+00:00,2025-01-23 09:53:23.876455+00:00,2025-01-23 10:00:09.553576+00:00,Appraiser-000001
282,Assess loan risk,2025-01-23 09:53:50.494274+00:00,2025-01-23 09:53:50.494274+00:00,2025-01-23 10:05:04.825598+00:00,Loan Officer-000003
278,Reject application,2025-01-23 09:57:21.505601+00:00,2025-01-23 09:57:21.505601+00:00,2025-01-23 09:57:31.737108+00:00,Senior Officer-000001
284,Check application form completeness,2025-01-23 10:00:00.000001+00:00,2025-01-23 10:00:00.000001+00:00,2025-01-23 10:00:25.128342+00:00,Clerk-000006
280,Reject application,2025-01-23 10:00:09.890637+00:00,2025-01-23 10:00:09.890638+00:00,2025-01-23 10:08:41.366027+00:00,Appraiser-000002
284,Check credit history,2025-01-23 10:00:25.128342+00:00,2025-01-23 10:00:25.128342+00:00,2025-01-23 10:01:07.652426+00:00,Clerk-000002
284,AML check,2025-01-23 10:01:07.652426+00:00,2025-01-23 10:01:07.652426+00:00,2025-01-23 10:14:59.872071+00:00,AML Investigator-000001
277,Approve application,2025-01-23 10:02:12.210922+00:00,2025-01-23 10:02:12.210922+00:00,2025-01-23 10:03:18.870619+00:00,Loan Officer-000002
282,Design loan offer,2025-01-23 10:05:04.825598+00:00,2025-01-23 10:05:04.825598+00:00,2025-01-23 10:08:09.319941+00:00,Senior Officer-000002
283,Assess loan risk,2025-01-23 10:05:32.753965+00:00,2025-01-23 10:05:32.753965+00:00,2025-01-23 10:19:58.088486+00:00,AML Investigator-000002
282,Approve loan offer,2025-01-23 10:08:09.319941+00:00,2025-01-23 10:08:09.319941+00:00,2025-01-23 10:24:19.533814+00:00,Applicant-000001
279,Appraise property,2025-01-23 10:14:05.632243+00:00,2025-01-23 10:14:05.632243+00:00,2025-01-23 10:14:29.604681+00:00,Clerk-000008
279,Assess loan risk,2025-01-23 10:14:29.604681+00:00,2025-01-23 10:14:29.604681+00:00,2025-01-23 10:24:01.274221+00:00,Clerk-000001
284,Assess loan risk,2025-01-23 10:14:59.872071+00:00,2025-01-23 10:14:59.872071+00:00,2025-01-23 10:30:56.823303+00:00,Loan Officer-000004
283,Design loan offer,2025-01-23 10:19:58.088486+00:00,2025-01-23 10:19:58.088486+00:00,2025-01-23 10:27:16.123634+00:00,Clerk-000004
283,Approve loan offer,2025-01-23 10:27:16.123634+00:00,2025-01-23 10:27:16.123634+00:00,2025-01-23 10:46:40.184425+00:00,Senior Officer-000001
281,AML check,2025-01-23 10:28:01.302541+00:00,2025-01-23 10:28:01.302541+00:00,2025-01-23 11:09:28.070636+00:00,Appraiser-000001
285,Check application form completeness,2025-01-23 10:30:00.928287+00:00,2025-01-23 10:30:00.928287+00:00,2025-01-23 10:30:00.963742+00:00,Clerk-000006
285,Check credit history,2025-01-23 10:30:00.963742+00:00,2025-01-23 10:30:00.963742+00:00,2025-01-23 10:40:05.579651+00:00,Clerk-000002
284,Design loan offer,2025-01-23 10:30:56.823303+00:00,2025-01-23 10:30:56.823303+00:00,2025-01-23 10:32:19.507146+00:00,Clerk-000003
284,Approve loan offer,2025-01-23 10:32:19.507146+00:00,2025-01-23 10:32:19.507146+00:00,2025-01-23 10:47:20.045901+00:00,Loan Officer-000002
279,Reject application,2025-01-23 10:39:53.240697+00:00,2025-01-23 10:39:53.240697+00:00,2025-01-23 10:40:47.107690+00:00,Loan Officer-000003
285,Appraise property,2025-01-23 10:40:05.579651+00:00,2025-01-23 10:40:05.579651+00:00,2025-01-23 10:55:31.801956+00:00,Clerk-000005
285,Assess loan risk,2025-01-23 10:55:31.801956+00:00,2025-01-23 10:55:31.801956+00:00,2025-01-23 10:58:08.400404+00:00,Senior Officer-000002
285,Design loan offer,2025-01-23 10:58:08.400404+00:00,2025-01-23 10:58:08.400404+00:00,2025-01-23 10:59:41.344123+00:00,Appraiser-000002
284,Cancel application,2025-01-23 10:58:20.271609+00:00,2025-01-23 10:58:20.271609+00:00,2025-01-23 10:59:38.802091+00:00,Loan Officer-000001
285,Approve loan offer,2025-01-23 10:59:41.344123+00:00,2025-01-23 10:59:41.344123+00:00,2025-01-23 11:16:45.025636+00:00,Clerk-000008
286,Check application form completeness,2025-01-23 11:00:21.347154+00:00,2025-01-23 11:00:21.347154+00:00,2025-01-23 11:00:21.395389+00:00,AML Investigator-000001
286,Check credit history,2025-01-23 11:00:21.395389+00:00,2025-01-23 11:00:21.395389+00:00,2025-01-23 11:08:36.032442+00:00,AML Investigator-000002
286,Appraise property,2025-01-23 11:08:36.032442+00:00,2025-01-23 11:08:36.032442+00:00,2025-01-23 11:08:38.478974+00:00,Clerk-000001
286,Assess loan risk,2025-01-23 11:08:38.478974+00:00,2025-01-23 11:08:38.478974+00:00,2025-01-23 11:12:17.607344+00:00,Applicant-000001
281,Assess loan risk,2025-01-23 11:09:28.070636+00:00,2025-01-23 11:09:28.070636+00:00,2025-01-23 11:28:03.359439+00:00,Clerk-000004
286,Design loan offer,2025-01-23 11:12:17.607344+00:00,2025-01-23 11:12:17.607344+00:00,2025-01-23 11:12:50.645923+00:00,Clerk-000007
286,Approve loan offer,2025-01-23 11:12:50.645923+00:00,2025-01-23 11:12:50.645923+00:00,2025-01-23 11:13:58.307585+00:00,Clerk-000006
286,Cancel application,2025-01-23 11:26:58.498126+00:00,2025-01-23 11:26:58.498125+00:00,2025-01-23 11:30:29.326373+00:00,Loan Officer-000004
281,Design loan offer,2025-01-23 11:28:03.359439+00:00,2025-01-23 11:28:03.359439+00:00,2025-01-23 11:32:21.760493+00:00,Clerk-000003
287,Check application form completeness,2025-01-23 11:30:00.000000+00:00,2025-01-23 11:30:00.000000+00:00,2025-01-23 11:31:25.728818+00:00,Clerk-000002
287,Check credit history,2025-01-23 11:31:25.728818+00:00,2025-01-23 11:31:25.728818+00:00,2025-01-23 11:35:21.830374+00:00,Loan Officer-000003
281,Approve loan offer,2025-01-23 11:32:21.760493+00:00,2025-01-23 11:32:21.760493+00:00,2025-01-23 11:43:28.287728+00:00,Senior Officer-000001
287,AML check,2025-01-23 11:35:21.830374+00:00,2025-01-23 11:35:21.830374+00:00,2025-01-23 11:40:46.506272+00:00,Loan Officer-000002
287,Assess loan risk,2025-01-23 11:40:46.506272+00:00,2025-01-23 11:40:46.506272+00:00,2025-01-23 11:55:00.897270+00:00,Clerk-000005
281,Cancel application,2025-01-23 11:43:28.289471+00:00,2025-01-23 11:43:28.289471+00:00,2025-01-23 11:46:49.231063+00:00,Senior Officer-000002
287,Design loan offer,2025-01-23 11:55:00.897270+00:00,2025-01-23 11:55:00.897270+00:00,2025-01-23 11:58:08.243919+00:00,Loan Officer-000001
287,Approve loan offer,2025-01-23 11:58:08.243919+00:00,2025-01-23 11:58:08.243919+00:00,2025-01-23 12:10:07.746683+00:00,Appraiser-000002
288,Check application form completeness,2025-01-23 12:00:00.000385+00:00,2025-01-23 12:00:00.000385+00:00,2025-01-23 12:24:56.575327+00:00,AML Investigator-000001
267,Reject application,2025-01-23 12:15:36.264147+00:00,2025-01-23 12:15:36.264147+00:00,2025-01-23 12:24:30.176802+00:00,AML Investigator-000002
288,Return application back to applicant,2025-01-23 12:24:56.575327+00:00,2025-01-23 12:24:56.575327+00:00,2025-01-23 12:26:59.306628+00:00,Clerk-000001
288,Applicant completes form,2025-01-23 12:26:59.306628+00:00,2025-01-23 12:26:59.306628+00:00,2025-01-23 14:24:29.770592+00:00,Appraiser-000001
290,Check application form completeness,2025-01-23 13:00:00.000000+00:00,2025-01-23 13:12:00.000000+00:00,2025-01-23 13:16:40.930421+00:00,Applicant-000001
290,Check credit history,2025-01-23 13:16:40.930421+00:00,2025-01-23 13:16:40.930421+00:00,2025-01-23 13:21:52.559263+00:00,Clerk-000007
289,Check application form completeness,2025-01-23 13:16:58.150194+00:00,2025-01-23 13:16:58.150194+00:00,2025-01-23 13:30:42.313840+00:00,Clerk-000006
290,Appraise property,2025-01-23 13:21:52.559263+00:00,2025-01-23 13:21:52.559263+00:00,2025-01-23 13:29:23.037400+00:00,Clerk-000008
285,Approve application,2025-01-23 13:26:31.253923+00:00,2025-01-23 13:26:31.253924+00:00,2025-01-23 13:30:25.270326+00:00,Clerk-000004
290,Assess loan risk,2025-01-23 13:29:23.037400+00:00,2025-01-23 13:29:23.037400+00:00,2025-01-23 13:30:08.667413+00:00,Loan Officer-000004
291,Check application form completeness,2025-01-23 13:30:00.018053+00:00,2025-01-23 13:30:00.018053+00:00,2025-01-23 13:46:59.340882+00:00,Clerk-000002
290,Design loan offer,2025-01-23 13:30:08.667413+00:00,2025-01-23 13:30:08.667413+00:00,2025-01-23 13:34:09.984547+00:00,Clerk-000003
289,Check credit history,2025-01-23 13:30:42.313840+00:00,2025-01-23 13:30:42.313840+00:00,2025-01-23 13:48:44.962169+00:00,Loan Officer-000003
290,Approve loan offer,2025-01-23 13:34:09.984547+00:00,2025-01-23 13:34:09.984547+00:00,2025-01-23 13:46:21.423705+00:00,Loan Officer-000002
291,Check credit history,2025-01-23 13:46:59.340882+00:00,2025-01-23 13:46:59.340882+00:00,2025-01-23 13:50:05.012713+00:00,Senior Officer-000001
289,Appraise property,2025-01-23 13:48:44.962169+00:00,2025-01-23 13:48:44.962169+00:00,2025-01-23 13:49:40.402188+00:00,Senior Officer-000002
289,Assess loan risk,2025-01-23 13:49:40.402188+00:00,2025-01-23 13:49:40.402188+00:00,2025-01-23 13:52:26.683686+00:00,Clerk-000005
291,AML check,2025-01-23 13:50:05.012713+00:00,2025-01-23 13:50:05.012713+00:00,2025-01-23 13:56:49.212413+00:00,Loan Officer-000001
289,Design loan offer,2025-01-23 13:52:26.683686+00:00,2025-01-23 13:52:26.683686+00:00,2025-01-23 13:58:44.462876+00:00,Appraiser-000002
291,Assess loan risk,2025-01-23 13:56:49.212413+00:00,2025-01-23 13:56:49.212413+00:00,2025-01-23 14:25:30.798074+00:00,AML Investigator-000002
289,Approve loan offer,2025-01-23 13:58:44.462876+00:00,2025-01-23 13:58:44.462876+00:00,2025-01-23 14:38:52.901522+00:00,AML Investigator-000001
292,Check application form completeness,2025-01-23 14:04:39.644080+00:00,2025-01-23 14:24:00.000000+00:00,2025-01-23 14:30:28.537333+00:00,Clerk-000001
288,Check application form completeness,2025-01-23 14:24:29.770592+00:00,2025-01-23 14:24:29.770592+00:00,2025-01-23 14:55:40.211963+00:00,Applicant-000001
293,Check application form completeness,2025-01-23 14:30:00.000000+00:00,2025-01-23 14:30:00.000000+00:00,2025-01-23 14:31:55.646629+00:00,Clerk-000007
292,Check credit history,2025-01-23 14:30:28.537333+00:00,2025-01-23 14:30:28.537333+00:00,2025-01-23 14:32:03.454190+00:00,Clerk-000008
293,Check credit history,2025-01-23 14:31:55.646629+00:00,2025-01-23 14:31:55.646629+00:00,2025-01-23 14:32:32.349468+00:00,Loan Officer-000004
292,AML check,2025-01-23 14:32:03.454190+00:00,2025-01-23 14:32:03.454190+00:00,2025-01-23 14:33:01.458988+00:00,Clerk-000004
293,AML check,2025-01-23 14:32:32.349468+00:00,2025-01-23 14:32:32.349468+00:00,2025-01-23 14:51:23.741608+00:00,Clerk-000006
292,Assess loan risk,2025-01-23 14:33:01.458988+00:00,2025-01-23 14:33:01.458988+00:00,2025-01-23 14:33:53.523421+00:00,Clerk-000003
292,Design loan offer,2025-01-23 14:33:53.523421+00:00,2025-01-23 14:33:53.523421+00:00,2025-01-23 14:42:06.176087+00:00,Loan Officer-000002
289,Cancel application,2025-01-23 14:38:52.901523+00:00,2025-01-23 14:38:52.901523+00:00,2025-01-23 14:40:47.835915+00:00,Clerk-000002
292,Approve loan offer,2025-01-23 14:42:06.176087+00:00,2025-01-23 14:42:06.176087+00:00,2025-01-24 07:48:30.153391+00:00,Loan Officer-000003
293,Assess loan risk,2025-01-23 14:51:23.741608+00:00,2025-01-23 14:51:23.741608+00:00,2025-01-24 07:52:27.277911+00:00,Senior Officer-000002
288,Check credit history,2025-01-23 14:55:40.211963+00:00,2025-01-23 14:55:40.211963+00:00,2025-01-24 09:09:20.622730+00:00,Senior Officer-000001
291,Reject application,2025-01-23 14:56:03.397611+00:00,2025-01-23 14:56:03.397610+00:00,2025-01-23 14:56:48.819410+00:00,Clerk-000005
294,Check application form completeness,2025-01-23 15:00:11.922720+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:54:14.578934+00:00,Loan Officer-000001
270,Approve application,2025-01-23 15:02:32.237384+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:50:11.672761+00:00,Appraiser-000002
295,Check application form completeness,2025-01-23 16:18:23.020233+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:50:37.920874+00:00,Appraiser-000001
290,Cancel application,2025-01-23 17:21:50.101286+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:56:33.719439+00:00,AML Investigator-000002
283,Cancel application,2025-01-23 19:00:07.191114+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:48:17.038541+00:00,Clerk-000001
282,Cancel application,2025-01-23 22:41:53.090619+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:55:03.995306+00:00,Clerk-000007
287,Cancel application,2025-01-24 00:01:58.099095+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:52:54.165833+00:00,Clerk-000008
296,Check application form completeness,2025-01-24 07:00:00.000000+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:54:04.125970+00:00,Loan Officer-000004
297,Check application form completeness,2025-01-24 07:30:00.021695+00:00,2025-01-24 07:48:00.000000+00:00,2025-01-24 07:48:13.733841+00:00,Clerk-000004
297,Check credit history,2025-01-24 07:48:13.733841+00:00,2025-01-24 07:48:13.733841+00:00,2025-01-24 07:56:30.016861+00:00,Clerk-000003
295,Check credit history,2025-01-24 07:50:37.920874+00:00,2025-01-24 07:50:37.920874+00:00,2025-01-24 09:48:16.601776+00:00,AML Investigator-000001
293,Design loan offer,2025-01-24 07:52:27.277911+00:00,2025-01-24 07:52:27.277911+00:00,2025-01-24 07:59:49.504945+00:00,Clerk-000002
296,Check credit history,2025-01-24 07:54:04.125970+00:00,2025-01-24 07:54:04.125970+00:00,2025-01-24 09:12:11.622882+00:00,Loan Officer-000002
294,Check credit history,2025-01-24 07:54:14.578934+00:00,2025-01-24 07:54:14.578934+00:00,2025-01-24 09:11:02.242579+00:00,Clerk-000006
297,AML check,2025-01-24 07:56:30.016861+00:00,2025-01-24 07:56:30.016861+00:00,2025-01-24 09:09:35.834573+00:00,Applicant-000001
293,Approve loan offer,2025-01-24 07:59:49.504945+00:00,2025-01-24 07:59:49.504945+00:00,2025-01-24 09:08:34.468589+00:00,Clerk-000005
